CCTV-1综合,udp://238.200.200.133:5540
CCTV-2财经,udp://238.200.200.231:5540
CCTV-3新闻,udp://238.200.200.63:5540
CCTV-4中文国际,udp://238.200.200.232:5540
CCTV-5体育,udp://238.200.200.64:5540
CCTV-6电影,udp://238.200.200.65:5540
CCTV-7国防军事,udp://238.200.200.237:5540
CCTV-8电视剧,udp://238.200.200.66:5540
CCTV-9纪录,udp://238.200.200.238:5540
CCTV-10科教,udp://238.200.200.239:5540
CCTV-11戏曲,udp://238.200.200.57:5540
CCTV-12社会与法,udp://238.200.200.240:5540
CCTV-13新闻,udp://238.200.200.58:5540
CCTV-14少儿,udp://238.200.200.241:5540
CCTV-15音乐,udp://238.200.200.59:5540
CCTV-17农业农村,udp://238.200.200.242:5540
CGTN,udp://238.200.200.118:5540
CCTV-4K,udp://238.200.200.91:5540
CHC高清电影,udp://238.200.200.62:5540
CHC动作电影,udp://238.200.200.61:5540
CHC家庭影院,udp://238.200.200.60:5540
风云足球,udp://238.200.200.67:5540
风云音乐,udp://238.200.200.82:5540
第一剧场,udp://238.200.200.81:5540
风云剧场,udp://238.200.200.80:5540
世界地理,udp://238.200.200.73:5540
怀旧剧场,udp://238.200.200.77:5540
兵器科技,udp://238.200.200.69:5540
女性时尚,udp://238.200.200.74:5540
高尔夫·网球,udp://238.200.200.76:5540
央视文化精品,udp://238.200.200.83:5540
央视台球,udp://238.200.200.68:5540
早期教育,udp://238.200.200.84:5540
中国教育1台,udp://238.200.200.43:5540
中国教育2台,udp://238.200.200.227:5540
中国教育4台,udp://238.200.200.70:5540
北京卫视4K,udp://238.200.200.11:5540
东方卫视,udp://238.200.200.125:5540
湖南卫视,udp://238.200.200.136:5540
浙江卫视,udp://238.200.200.134:5540
江苏卫视,udp://238.200.200.135:5540
北京卫视,udp://238.200.200.137:5540
安徽卫视,udp://238.200.200.38:5540
广东卫视,udp://238.200.200.138:5540
深圳卫视,udp://238.200.200.139:5540
辽宁卫视,udp://238.200.200.41:5540
海南卫视,udp://238.200.200.85:5540
山东卫视,udp://238.200.200.141:5540
天津卫视,udp://238.200.200.39:5540
重庆卫视,udp://238.200.200.45:5540
贵州卫视,udp://238.200.200.86:5540
黑龙江卫视,udp://238.200.200.140:5540
湖北卫视,udp://238.200.200.142:5540
江西卫视,udp://238.200.200.40:5540
四川卫视,udp://238.200.200.44:5540
河北卫视,udp://238.200.200.225:5540
东南卫视,udp://238.200.200.42:5540
河南卫视,udp://238.200.200.233:5540
广西卫视,udp://238.200.200.235:5540
吉林卫视,udp://238.200.200.236:5540
云南卫视,udp://238.200.200.234:5540
甘肃卫视,udp://238.200.200.181:5540
兵团卫视,udp://238.200.200.173:5540
三沙卫视,udp://238.200.200.95:5540
金鹰卡通,udp://238.200.200.26:5540
内蒙古卫视,udp://238.200.200.168:5540
宁夏卫视,udp://238.200.200.151:5540
山西卫视,udp://238.200.200.161:5540
陕西卫视,udp://238.200.200.164:5540
新疆卫视,udp://238.200.200.172:5540
青海卫视,udp://238.200.200.25:5540
西藏卫视,udp://238.200.200.163:5540
延边卫视,udp://238.200.200.75:5540
上海导视,udp://238.200.200.78:5540
上海新闻综合,udp://238.200.200.130:5540
上海都市,udp://238.200.200.127:5540
纪实人文,udp://238.200.200.129:5540
东方影视,udp://238.200.200.128:5540
五星体育,udp://238.200.200.131:5540
哈哈炫动,udp://238.200.200.176:5540
第一财经,udp://238.200.200.132:5540
外语频道,udp://238.200.200.21:5540
东方财经,udp://238.200.200.36:5540
浦东电视台,udp://238.200.200.178:5540
上海教育,udp://238.200.200.187:5540
欢笑剧场,udp://238.200.200.35:5540
生活时尚,udp://238.200.200.31:5540
游戏风云,udp://238.200.200.29:5540
乐游,udp://238.200.200.32:5540
都市剧场,udp://238.200.200.34:5540
法治天地,udp://238.200.200.99:5540
动漫秀场,udp://238.200.200.33:5540
金色学堂,udp://238.200.200.10:5540
七彩戏剧,udp://238.200.200.30:5540
欢笑剧场4K,udp://238.200.200.228:5540
茶频道,udp://238.200.200.248:5540
快乐垂钓,udp://238.200.200.247:5540
财富天下,udp://238.200.200.230:5540
卡酷少儿,udp://238.200.200.218:5540
嘉佳卡通,udp://238.200.200.245:5540
金鹰纪实,udp://238.200.200.226:5540
中国天气,udp://238.200.200.46:5540
家庭理财,udp://238.200.200.188:5540
直播室101,udp://238.200.200.143:5540
直播室102,udp://238.200.200.144:5540
直播室103,udp://238.200.200.145:5540
直播室104,udp://238.200.200.146:5540
直播室105,udp://238.200.200.147:5540
直播室106,udp://238.200.200.148:5540
直播室107,udp://238.200.200.149:5540
直播室108,udp://238.200.200.214:5540
直播室109,udp://238.200.200.215:5540
直播室110,udp://238.200.200.216:5540
直播室111,udp://238.200.200.217:5540
央广购物,udp://238.200.200.249:5540
优购物,udp://238.200.200.28:5540
东方购物1,udp://238.200.200.79:5540
东方购物2,udp://238.200.200.7:5540
