CCTV-1综合,rtp://239.93.0.184:5140
CCTV-2财经,rtp://239.93.1.23:6000
CCTV-3综艺,rtp://239.93.0.11:5140
CCTV-4中文国际,rtp://239.94.0.4:5140
CCTV-5体育,rtp://239.93.0.12:5140
CCTV-5+体育赛事,rtp://239.93.1.173:5140
CCTV-6电影,rtp://239.93.0.13:5140
CCTV-7国防军事,rtp://239.93.1.67:5140
CCTV-8电视剧,rtp://239.93.42.104:5140
CCTV-9纪录,rtp://239.94.0.9:5140
CCTV-10科教,rtp://239.94.0.10:5140
CCTV-11戏曲,rtp://239.93.42.105:5140
CCTV-12社会与法,rtp://239.93.1.30:8124
CCTV-13新闻,rtp://239.93.0.99:5140
CCTV-14少儿,rtp://239.93.1.29:6000
CCTV-15音乐,rtp://239.93.42.106:5140
CCTV-16奥林匹克,rtp://239.93.60.53:5140
CCTV-16奥林匹克4K,rtp://239.93.42.54:5140
CCTV-16奥林匹克4K,rtp://239.93.60.54:5140
CCTV-17农业农村,rtp://239.94.0.39:5140
CCTV-4K,rtp://239.93.42.42:5140
CHC家庭影院,rtp://239.93.42.6:5140
CHC影迷电影,rtp://239.93.42.5:5140
CHC动作电影,rtp://239.93.42.7:5140
中国教育1台,rtp://239.93.1.75:5140
中国教育2台,rtp://239.94.1.19:5140
中国教育4台,rtp://239.94.1.20:5140
凤凰卫视,rtp://239.93.0.162:2192
凤凰资讯,rtp://239.93.1.4:2191
星空卫视,rtp://239.93.0.156:2193
Channel[V],rtp://239.93.0.157:2194
湖南卫视,rtp://239.93.0.88:5140
四川卫视,rtp://239.93.0.169:5140
江苏卫视,rtp://239.93.0.89:5140
浙江卫视,rtp://239.93.0.124:5140
东方卫视,rtp://239.93.0.123:5140
北京卫视,rtp://239.93.0.180:5140
深圳卫视,rtp://239.93.0.182:5140
广东卫视,rtp://239.93.0.181:5140
天津卫视,rtp://239.93.0.167:5140
山东卫视,rtp://239.93.0.168:5140
康巴卫视,rtp://239.93.0.41:5140
江西卫视,rtp://239.93.0.134:5140
东南卫视,rtp://239.93.0.42:5140
黑龙江卫视,rtp://239.93.0.183:5140
贵州卫视,rtp://239.94.0.83:5140
湖北卫视,rtp://239.93.0.250:5140
安徽卫视,rtp://239.93.1.106:5140
河北卫视,rtp://239.93.0.132:5140
河南卫视,rtp://239.93.42.45:5140
广西卫视,rtp://239.93.42.46:5140
云南卫视,rtp://239.93.1.174:5140
吉林卫视,rtp://239.93.0.248:5140
陕西卫视,rtp://239.94.0.92:5140
山西卫视,rtp://239.93.0.127:5140
内蒙古卫视,rtp://239.94.0.94:5140
青海卫视,rtp://239.94.0.95:5140
宁夏卫视,rtp://239.94.0.96:5140
西藏卫视,rtp://239.94.0.97:5140
新疆卫视,rtp://239.93.0.82:5140
甘肃卫视,rtp://239.93.0.81:5140
海南卫视,rtp://239.94.0.100:5140
辽宁卫视,rtp://239.94.0.101:5140
兵团卫视,rtp://239.93.42.43:5140
厦门卫视,rtp://239.94.0.104:5140
三沙卫视,rtp://239.94.0.105:5140
延边卫视,rtp://239.94.0.107:5140
农林卫视,rtp://239.94.0.108:5140
安多卫视,rtp://239.94.0.110:5140
重庆卫视,rtp://239.93.0.112:5140
山东教育卫视,rtp://239.94.0.106:5140
北京卫视4K,rtp://239.94.0.111:5140
深圳卫视4K,rtp://239.94.0.113:5140
广东卫视4K,rtp://239.94.0.114:5140
北京卫视4K,rtp://239.94.0.112:5140
四川卫视4K,rtp://239.94.0.115:5140
湖南卫视4K,rtp://239.94.0.116:5140
