广东卫视,rtp://239.0.1.1:5001$HD
大湾区卫视,rtp://239.0.1.77:5075$HD
广东经济科教,rtp://239.0.1.94:5013$HD
广东体育,rtp://239.0.1.95:5057$HD
广东珠江,rtp://239.0.1.133:5172$HD
广东珠江,rtp://239.0.1.134:5173$FHD
广东新闻,rtp://239.0.1.146:5072$HD
广东影视,rtp://239.0.1.135:5076$HD
广东民生,rtp://239.0.1.58:5073$HD
广东少儿,rtp://239.0.1.93:5077$HD
岭南戏曲,rtp://239.0.1.60:5080$HD
广东现代教育,rtp://239.0.1.62:5081$HD
广东嘉佳卡通,rtp://239.0.1.64:5078$HD
广东南方购物,rtp://239.0.1.57:5087$HD
中山综合,rtp://239.0.1.183:2000$HD
中山综合,rtp://239.0.1.152:5107$HD
佛山公共,rtp://239.0.1.221:5122$HD
佛山南海,rtp://239.0.1.222:5123$HD
佛山顺德,rtp://239.0.1.223:5124$HD
佛山综合,rtp://239.0.1.225:5126$HD
河源公共,rtp://239.0.1.236:5225$HD
阳江-1,rtp://239.0.1.154:5111$HD
阳江-2,rtp://239.0.1.155:5111$HD
广东4K超高清,rtp://239.0.1.169:6030$30P
广东卫视4K,rtp://239.0.1.156:5213$50P
广东卫视4K,rtp://239.0.1.157:5154$25P
深圳卫视4K,rtp://239.0.1.159:2000$25P
北京卫视4K,rtp://239.0.1.2:2000$25P
北京卫视4K,rtp://239.0.1.53:2000$50P
湖南卫视4K,rtp://239.0.1.164:3002$50P
江苏卫视4K,rtp://239.0.1.165:3003$50P
浙江卫视4K,rtp://239.0.1.166:3004$50P
东方卫视4K,rtp://239.0.1.167:3006$50P
四川卫视4K,rtp://239.0.1.168:3001$50P
山东卫视4K,rtp://239.0.1.170:3005$50P
CCTV-1综合,rtp://239.0.1.3:8008$HD
CCTV-2财经,rtp://239.0.1.4:8084$HD
CCTV-3综艺,rtp://239.0.1.177:6037$HD
CCTV-4中文国际,rtp://239.0.1.180:6040$HD
CCTV-5体育,rtp://239.0.1.175:6035$HD
CCTV-5+体育赛事,rtp://239.0.1.101:8004$HD
CCTV-6电影,rtp://239.0.1.176:6036$HD
CCTV-7国防军事,rtp://239.0.1.96:8104$HD
CCTV-8电视剧,rtp://239.0.1.174:6034$HD
CCTV-9纪录,rtp://239.0.1.97:8112$HD
CCTV-10科教,rtp://239.0.1.98:8116$HD
CCTV-11戏曲,rtp://239.0.1.136:8120$HD
CCTV-12社会与法,rtp://239.0.1.99:8124$HD
CCTV-13新闻,rtp://239.0.1.137:8128$HD
CCTV-14少儿,rtp://239.0.1.100:8132$HD
CCTV-15音乐,rtp://239.0.1.138:8136$HD
CCTV-16奥林匹克,rtp://239.0.1.246:5153$HD
CCTV-17农业农村,rtp://239.0.1.139:8064$HD
女性时尚,rtp://239.0.1.107:5230$HD
兵器科技,rtp://239.0.1.108:5225$HD
第一剧场,rtp://239.0.1.109:5235$HD
电视指南,rtp://239.0.1.110:5226$HD
风云剧场,rtp://239.0.1.111:5233$HD
怀旧剧场,rtp://239.0.1.115:5232$HD
风云音乐,rtp://239.0.1.112:5236$HD
风云足球,rtp://239.0.1.113:5227$HD
高尔夫·网球,rtp://239.0.1.114:5229$HD
世界地理,rtp://239.0.1.130:5231$HD
央视文化精品,rtp://239.0.1.131:5234$HD
央视台球,rtp://239.0.1.132:5228$HD
北京卫视,rtp://239.0.1.153:5207$HD
湖南卫视,rtp://239.0.1.78:8012$HD
浙江卫视,rtp://239.0.1.79:1234$HD
江苏卫视,rtp://239.0.1.80:8028$HD
安徽卫视,rtp://239.0.1.81:8064$HD
东方卫视,rtp://239.0.1.82:8032$HD
北京卫视,rtp://239.0.1.83:8024$HD
深圳卫视,rtp://239.0.1.84:8020$HD
辽宁卫视,rtp://239.0.1.85:8056$HD
黑龙江卫视,rtp://239.0.1.86:8016$HD
四川卫视,rtp://239.0.1.87:5095$HD
湖北卫视,rtp://239.0.1.88:1234$HD
天津卫视,rtp://239.0.1.89:1234$HD
山东卫视,rtp://239.0.1.90:8052$HD
重庆卫视,rtp://239.0.1.91:5097$HD
青海卫视,rtp://239.0.1.50:5174$HD
河南卫视,rtp://239.0.1.140:5191$HD
云南卫视,rtp://239.0.1.141:5192$HD
海南卫视,rtp://239.0.1.142:5239$HD
贵州卫视,rtp://239.0.1.129:5212$HD
甘肃卫视,rtp://239.0.1.144:8180$HD
新疆卫视,rtp://239.0.1.160:8192$HD
兵团卫视,rtp://239.0.1.161:8196$HD
宁夏卫视,rtp://239.0.1.162:8212$HD
三沙卫视,rtp://239.0.1.148:5157$HD
西藏卫视,rtp://239.0.1.151:8188$HD
广西卫视,rtp://239.0.1.181:6041$HD
东南卫视,rtp://239.0.1.241:5109$HD
河北卫视,rtp://239.0.1.243:8072$HD
江西卫视,rtp://239.0.1.244:5166$HD
吉林卫视,rtp://239.0.1.245:5183$HD
金鹰纪实,rtp://239.0.1.92:5094$HD
金鹰卡通,rtp://239.0.1.143:5152$HD
IPTV谍战剧场,rtp://239.0.1.116:5107
IPTV相声小品,rtp://239.0.1.117:5108
IPTV野外,rtp://239.0.1.118:5109
IPTV法治,rtp://239.0.1.119:5110
IPTV3+,rtp://239.0.1.124:5115
IPTV5+,rtp://239.0.1.102:4120$HD
IPTV5+,rtp://239.0.1.125:5116
IPTV6+,rtp://239.0.1.120:5111
IPTV8+,rtp://239.0.1.122:5113
经典电影,rtp://239.0.1.121:5112
热播剧场,rtp://239.0.1.123:5114
少儿动画,rtp://239.0.1.126:5117
魅力时尚,rtp://239.0.1.127:5118
收视指南,rtp://239.0.1.128:5119
中国教育1台,rtp://239.0.1.145:8152$HD
中国教育4台,rtp://239.0.1.39:5156$HD
